Competitor,LinkedinUrl
ACCENTURE,https://www.linkedin.com/company/accenture/
AIRBUS GROUP,https://www.linkedin.com/company/airbusgroup/
ALTERYX,https://www.linkedin.com/company/alteryx/
ATOS,https://www.linkedin.com/company/atos/
AVISIA,https://www.linkedin.com/company/avisia/
BUSINESS ET DECISION,https://www.linkedin.com/company/business-&-decision/
CAP GEMINI,https://www.linkedin.com/company/capgemini/
CGI,https://www.linkedin.com/company/cgi/
D-AIM,https://www.linkedin.com/company/d-aim/
DATABRICKS,https://www.linkedin.com/company/databricks/
DATAIKU,https://www.linkedin.com/company/dataiku
DATAROBOT,https://www.linkedin.com/company/datarobot/
DELOITTE,https://www.linkedin.com/company/deloitte-france/
DOMINO DATA LAB,https://www.linkedin.com/company/domino-data-lab/
ERNST AND YOUNG,https://www.linkedin.com/company/ernstandyoung/
GOOGLE CLOUD,https://www.linkedin.com/showcase/google-cloud/
H2OAI,https://www.linkedin.com/company/h2oai/
IBM,https://www.linkedin.com/company/ibm/
JMP,https://www.linkedin.com/company/jmp/
KEYRUS,https://www.linkedin.com/company/keyrus/
KNIME,https://www.linkedin.com/company/knime.com/
KPMG,https://www.linkedin.com/company/kpmg-france/
LINCOLN,https://www.linkedin.com/company/lincoln-financial-group/
MATHWORKS,https://www.linkedin.com/company/the-mathworks_2/
MICROPOLE,https://www.linkedin.com/company/micropole/
MICROSOFT,https://www.linkedin.com/company/microsoft/
MINITAB,https://www.linkedin.com/company/minitab/
NOVENCIA,https://www.linkedin.com/company/novencia/
ORACLE,https://www.linkedin.com/company/oracle/
PEGASYSTEMS,https://www.linkedin.com/company/pegasystems/
PWC,https://www.linkedin.com/company/pwc/
RAPIDMINER,https://www.linkedin.com/company/rapidminer/
SAS,https://www.linkedin.com/company/sas/mycompany/
SIX FOIS SEPT,https://www.linkedin.com/company/six-fois-sept/
SNOWFLAKE,https://www.linkedin.com/company/snowflake-computing/
SOGETI,https://www.linkedin.com/company/sogeti/
SOPRA STERIA GROUP,https://www.linkedin.com/company/soprasteria/
TIBCO,https://www.linkedin.com/company/tibco/
UMANIS,https://www.linkedin.com/company/umanis/
SCHNEIDER ELECTRIC,https://www.linkedin.com/company/schneider-electric/
QUANTMETRY,https://www.linkedin.com/company/quantmetry/
